id,gene_name,primer_0,primer_1,primer_2,primer_3,primer_4,primer_5,primer_6,primer_7,primer_8,primer_9,primer_10,primer_11,primer_12,primer_13,primer_14,primer_15,primer_16,primer_17,primer_18,primer_19,primer_20,primer_21,primer_22,primer_23,primer_24,gene_sum
80,IGKV4-74*01,,,,,,,,,,,,,,,,,,,,,,,,,,
81,IGKV4-78*01,,,,,,,,,,,,,,,,,,,,,,,,,,
82,IGKV4-79*01,,,,,,,,,,,,,,,,,,,,,,,,,,
83,IGKV4-80*01,,,,,,,,,,,,,,,,,,,,,,,,,,
84,IGKV4-81*01,,,,,,,,,,,,,,,,,,,,,,,,,,
85,IGKV4-86*01,,,,,,,,,,,,,,,,,,,,,,,,,,
86,IGKV4-90*01,,,,,,,,,,,,,,,,,,,,,,,,,,
87,IGKV4-91*01,,,,,,,,,,,,,,,,,,,,,,,,,,
88,IGKV4-92*01,,,,,,,,,,,,,,,,,,,,,,,,,,
89,IGKV5-37*01,,,,,,,,,,,,,,,,,,,,,,,,,,
90,IGKV5-39*01,,,,,,,,,,,,,,,,,,,,,,,,,,
91,IGKV5-43*01,,,,,,,,,,,,,,,,,,,,,,,,,,
92,IGKV5-45*01,,,,,,,,,,,,,,,,,,,,,,,,,,
93,IGKV5-48*01,,,,,,,,,,,,,,,,,,,,,,,,,,
94,IGKV6-13*01,,,,,,,,,,,,,,,,,,,,,,,,,,
95,IGKV6-14*01,,,,,,,,,,,,,,,,,,,,,,,,,,
96,IGKV6-15*01,,,,,,,,,,,,,,,,,,,,,,,,,,
97,IGKV6-17*01,,,,,,,,,,,,,,,,,,,,,,,,,,
98,IGKV6-20*01,,,,,,,,,,,,,,,,,,,,,,,,,,
99,IGKV6-23*01,,,,,,,,,,,,,,,,,,,,,,,,,,
100,IGKV6-25*01,,,,,,,,,,,,,,,,,,,,,,,,,,
101,IGKV6-29*01,,,,,,,,,,,,,,,,,,,,,,,,,,
102,IGKV6-32*01,,,,,,,,,,,,,,,,,,,,,,,,,,
103,IGKV6-32*02,,,,,,,,,,,,,,,,,,,,,,,,,,
104,IGKV6-b*01,,,,,,,,,,,,,,,,,,,,,,,,,,
105,IGKV6-c*01,,,,,,,,,,,,,,,,,,,,,,,,,,
106,IGKV6-d*01,,,,,,,,,,,,,,,,,,,,,,,,,,
